vinho_id,nome_base,produtor,safra,corpo_peso,tanino_peso,acidez_peso,docura_peso,alcool_peso,nota_delicado,nota_classico,nota_robusto,nota_audaz,caminho_foto,uvas,regiao,teor_alcoolico
VINI-000017,Cloudy Bay Sauvignon Blanc 2012,Cloudy Bay,2012,0.29,0.14,0.82,0.06,0.55,3.88,3.33,1.07,2.66,labels/VINI-000017.jpg,['Sauvignon Blanc'],Marlborough - Nova Zelândia,N/D
VINI-000018,Pizzato Merlot 2019,Pizzato,2019,0.69,0.67,0.58,0.09,0.66,2.36,4.35,3.4,2.62,labels/VINI-000018.jpg,['Merlot'],Vale dos Vinhedos - Brasil,N/D
VINI-000019,Casa Valduga Chardonnay 2012,Casa Valduga,2012,0.57,0.12,0.72,0.14,0.71,3.02,3.97,1.72,3.01,labels/VINI-000019.jpg,['Chardonnay'],Vale dos Vinhedos - Brasil,N/D
VINI-000020,Concha y Toro Cabernet Sauvignon 2022,Concha y Toro,2022,0.87,0.91,0.53,0.13,0.86,1.85,3.3,4.45,3.01,labels/VINI-000020.jpg,['Cabernet Sauvignon'],Vale Central - Chile,N/D
VINI-000021,Miolo Tannat 2011,Miolo,2011,0.88,0.87,0.52,0.07,0.8,1.8,3.38,4.38,2.79,labels/VINI-000021.jpg,['Tannat'],Campanha Gaúcha - Brasil,N/D
VINI-000022,"Esporão Aragonez, Trincadeira 2011",Esporão,2011,0.64,0.6,0.64,0.09,0.61,2.64,4.65,3.1,2.62,labels/VINI-000022.jpg,"['Aragonez', 'Trincadeira']",Alentejo - Portugal,N/D
VINI-000023,Concha y Toro Cabernet Sauvignon 2014,Concha y Toro,2014,0.89,0.74,0.52,0.15,0.81,1.78,3.67,4.07,2.93,labels/VINI-000023.jpg,['Cabernet Sauvignon'],Vale Central - Chile,N/D
VINI-000025,Viña Leyda Sauvignon Blanc 2016,Viña Leyda,2016,0.32,0.03,0.82,0.03,0.55,3.82,3.12,1.0,2.62,labels/VINI-000025.jpg,['Sauvignon Blanc'],Vale de Leyda - Chile,N/D
VINI-000026,Casa Valduga Chardonnay 2016,Casa Valduga,2016,0.55,0.09,0.69,0.06,0.85,2.97,3.85,1.6,3.12,labels/VINI-000026.jpg,['Chardonnay'],Vale dos Vinhedos - Brasil,N/D
VINI-000027,Pizzato Merlot 2021,Pizzato,2021,0.65,0.64,0.55,0.1,0.66,2.35,4.53,3.23,2.6,labels/VINI-000027.jpg,['Merlot'],Vale dos Vinhedos - Brasil,N/D
VINI-000028,Concha y Toro Cabernet Sauvignon 2011,Concha y Toro,2011,0.76,0.86,0.49,0.02,0.78,1.95,3.7,4.05,2.62,labels/VINI-000028.jpg,['Cabernet Sauvignon'],Vale Central - Chile,N/D
VINI-000030,Miolo Tannat 2018,Miolo,2018,0.89,0.84,0.6,0.11,0.78,2.02,3.43,4.33,2.93,labels/VINI-000030.jpg,['Tannat'],Campanha Gaúcha - Brasil,N/D
VINI-000031,Miolo Tannat 2014,Miolo,2014,0.85,0.84,0.47,0.08,0.83,1.71,3.53,4.22,2.79,labels/VINI-000031.jpg,['Tannat'],Campanha Gaúcha - Brasil,N/D
VINI-000032,Miolo Tannat 2019,Miolo,2019,0.87,0.89,0.53,0.08,0.76,1.85,3.35,4.4,2.74,labels/VINI-000032.jpg,['Tannat'],Campanha Gaúcha - Brasil,N/D
VINI-000033,Cloudy Bay Sauvignon Blanc 2013,Cloudy Bay,2013,0.24,0.0,0.8,0.03,0.62,3.92,2.85,1.0,2.78,labels/VINI-000033.jpg,['Sauvignon Blanc'],Marlborough - Nova Zelândia,N/D
VINI-000034,Graham's Touriga Nacional 2012,Graham's,2012,0.94,0.52,0.43,0.71,1.0,1.41,4.1,3.65,4.01,labels/VINI-000034.jpg,['Touriga Nacional'],Douro - Portugal,N/D
VINI-000035,Santa Rita Carmenere 2020,Santa Rita,2020,0.74,0.68,0.66,0.11,0.63,2.5,4.2,3.55,2.72,labels/VINI-000035.jpg,['Carmenere'],Vale do Maipo - Chile,N/D
VINI-000036,Marqués de Riscal Tempranillo 2024,Marqués de Riscal,2024,0.59,0.62,0.54,0.08,0.65,2.44,4.68,3.02,2.53,labels/VINI-000036.jpg,['Tempranillo'],Rioja - Espanha,N/D
VINI-000038,Marqués de Riscal Tempranillo 2017,Marqués de Riscal,2017,0.7,0.67,0.59,0.08,0.73,2.37,4.33,3.43,2.76,labels/VINI-000038.jpg,['Tempranillo'],Rioja - Espanha,N/D
VINI-000039,Beringer Cabernet Sauvignon 2010,Beringer,2010,0.92,0.81,0.48,0.16,0.82,1.6,3.42,4.33,2.9,labels/VINI-000039.jpg,['Cabernet Sauvignon'],Napa Valley - EUA,N/D
VINI-000040,Santa Rita Carmenere 2022,Santa Rita,2022,0.69,0.55,0.68,0.07,0.75,2.66,4.65,3.1,2.93,labels/VINI-000040.jpg,['Carmenere'],Vale do Maipo - Chile,N/D
VINI-000041,Beringer Cabernet Sauvignon 2022,Beringer,2022,0.88,0.75,0.51,0.1,0.82,1.77,3.67,4.07,2.85,labels/VINI-000041.jpg,['Cabernet Sauvignon'],Napa Valley - EUA,N/D
VINI-000042,Beringer Cabernet Sauvignon 2020,Beringer,2020,0.88,0.91,0.48,0.21,0.81,1.68,3.28,4.47,2.96,labels/VINI-000042.jpg,['Cabernet Sauvignon'],Napa Valley - EUA,N/D
VINI-000043,Graham's Touriga Nacional 2023,Graham's,2023,0.88,0.61,0.38,0.75,0.89,1.38,4.02,3.73,3.77,labels/VINI-000043.jpg,['Touriga Nacional'],Douro - Portugal,N/D
VINI-000045,Prunotto Nebbiolo 2011,Prunotto,2011,0.68,0.88,0.85,0.09,0.82,3.19,3.85,3.9,3.2,labels/VINI-000045.jpg,['Nebbiolo'],Piemonte - Itália,N/D
VINI-000046,Luigi Bosca Malbec 2020,Luigi Bosca,2020,0.85,0.83,0.4,0.07,0.75,1.5,3.55,4.2,4.0,labels/VINI-000046.jpg,['Malbec'],Luján de Cuyo - Argentina,N/D
VINI-000047,Santa Rita Carmenere 2017,Santa Rita,2017,0.7,0.63,0.61,0.3,0.87,2.43,4.42,3.33,3.41,labels/VINI-000047.jpg,['Carmenere'],Vale do Maipo - Chile,N/D
VINI-000048,Prunotto Nebbiolo 2017,Prunotto,2017,0.75,0.97,0.82,0.03,0.75,2.96,3.45,4.3,3.02,labels/VINI-000048.jpg,['Nebbiolo'],Piemonte - Itália,N/D
VINI-000049,Marqués de Riscal Tempranillo 2018,Marqués de Riscal,2018,0.69,0.64,0.57,0.08,0.7,2.33,4.42,3.33,2.67,labels/VINI-000049.jpg,['Tempranillo'],Rioja - Espanha,N/D
VINI-000050,Pizzato Merlot 2024,Pizzato,2024,0.63,0.69,0.73,0.09,0.72,2.93,4.45,3.3,2.97,labels/VINI-000050.jpg,['Merlot'],Vale dos Vinhedos - Brasil,N/D
VINI-000051,Catena Zapata Malbec 2013,Catena Zapata,2013,0.77,0.91,0.47,0.0,0.83,1.87,3.55,4.2,2.67,labels/VINI-000051.jpg,['Malbec'],Mendoza - Argentina,N/D
VINI-000052,Santa Rita Carmenere 2021,Santa Rita,2021,0.68,0.56,0.65,0.12,0.7,2.59,4.65,3.1,2.85,labels/VINI-000052.jpg,['Carmenere'],Vale do Maipo - Chile,N/D
VINI-000053,"Esporão Aragonez, Trincadeira 2012",Esporão,2012,0.74,0.49,0.54,0.04,0.67,2.14,4.62,3.08,2.51,labels/VINI-000053.jpg,"['Aragonez', 'Trincadeira']",Alentejo - Portugal,N/D
VINI-000054,Prunotto Nebbiolo 2013,Prunotto,2013,0.66,0.95,0.94,0.11,0.8,3.5,3.73,4.02,3.06,labels/VINI-000054.jpg,['Nebbiolo'],Piemonte - Itália,N/D
VINI-000055,Louis Latour Chardonnay 2011,Louis Latour,2011,0.54,0.17,0.67,0.09,0.75,2.93,4.03,1.78,2.94,labels/VINI-000055.jpg,['Chardonnay'],Bourgogne - França,N/D
VINI-000057,Luigi Bosca Malbec 2023,Luigi Bosca,2023,0.86,0.88,0.47,0.13,0.84,1.69,3.4,4.35,2.88,labels/VINI-000057.jpg,['Malbec'],Luján de Cuyo - Argentina,N/D
VINI-000058,"Esporão Aragonez, Trincadeira 2022",Esporão,2022,0.71,0.6,0.63,0.08,0.68,2.47,4.47,3.28,2.73,labels/VINI-000058.jpg,"['Aragonez', 'Trincadeira']",Alentejo - Portugal,N/D
VINI-000060,Louis Latour Chardonnay 2014,Louis Latour,2014,0.47,0.11,0.67,0.12,0.83,3.07,3.7,1.45,3.15,labels/VINI-000060.jpg,['Chardonnay'],Bourgogne - França,N/D
VINI-000062,Catena Zapata Malbec 2015,Catena Zapata,2015,0.78,0.86,0.49,0.12,0.79,1.91,3.65,4.1,2.8,labels/VINI-000062.jpg,['Malbec'],Mendoza - Argentina,N/D
VINI-000063,Prunotto Nebbiolo 2024,Prunotto,2024,0.66,0.88,0.92,0.0,0.71,3.44,3.9,3.85,2.74,labels/VINI-000063.jpg,['Nebbiolo'],Piemonte - Itália,N/D
VINI-000064,Cloudy Bay Sauvignon Blanc 2011,Cloudy Bay,2011,0.2,0.01,0.94,0.06,0.6,4.42,2.78,1.0,2.58,labels/VINI-000064.jpg,['Sauvignon Blanc'],Marlborough - Nova Zelândia,N/D
VINI-000065,Joseph Drouhin Pinot Noir 2019,Joseph Drouhin,2019,0.34,0.31,0.8,0.12,0.56,3.72,3.88,1.62,2.8,labels/VINI-000065.jpg,['Pinot Noir'],Bourgogne - França,N/D
VINI-000066,Louis Latour Chardonnay 2019,Louis Latour,2019,0.55,0.17,0.71,0.06,0.69,3.03,4.05,1.8,2.83,labels/VINI-000066.jpg,['Chardonnay'],Bourgogne - França,N/D
VINI-000068,M. Chapoutier Syrah 2018,M. Chapoutier,2018,0.85,0.77,0.51,0.09,0.83,1.83,3.7,4.05,2.86,labels/VINI-000068.jpg,['Syrah'],Rhône - França,N/D
VINI-000069,Viña Leyda Sauvignon Blanc 2015,Viña Leyda,2015,0.23,0.0,0.81,0.05,0.53,3.97,2.82,1.0,2.62,labels/VINI-000069.jpg,['Sauvignon Blanc'],Vale de Leyda - Chile,N/D
VINI-000072,Luigi Bosca Malbec 2012,Luigi Bosca,2012,0.81,0.79,0.48,0.03,0.84,1.82,3.75,4.0,2.75,labels/VINI-000072.jpg,['Malbec'],Luján de Cuyo - Argentina,N/D
VINI-000073,Santa Rita Carmenere 2011,Santa Rita,2011,0.65,0.53,0.54,0.21,0.67,2.32,4.8,2.95,2.77,labels/VINI-000073.jpg,['Carmenere'],Vale do Maipo - Chile,N/D
VINI-000074,Catena Zapata Malbec 2023,Catena Zapata,2023,0.85,0.92,0.46,0.06,0.67,1.68,3.33,4.42,2.42,labels/VINI-000074.jpg,['Malbec'],Mendoza - Argentina,N/D
VINI-000075,Casa Valduga Chardonnay 2023,Casa Valduga,2023,0.59,0.09,0.71,0.11,0.81,2.95,3.95,1.7,3.15,labels/VINI-000075.jpg,['Chardonnay'],Vale dos Vinhedos - Brasil,N/D
VINI-000076,Catena Zapata Malbec 2010,Catena Zapata,2010,0.85,0.91,0.53,0.08,0.77,1.89,3.35,4.4,2.76,labels/VINI-000076.jpg,['Malbec'],Mendoza - Argentina,N/D
VINI-000077,Prunotto Nebbiolo 2018,Prunotto,2018,0.69,0.96,0.86,0.0,0.8,3.2,3.63,4.12,3.01,labels/VINI-000077.jpg,['Nebbiolo'],Piemonte - Itália,N/D
VINI-000079,Concha y Toro Cabernet Sauvignon 2016,Concha y Toro,2016,0.82,0.86,0.46,0.08,0.72,1.74,3.55,4.2,2.55,labels/VINI-000079.jpg,['Cabernet Sauvignon'],Vale Central - Chile,N/D
VINI-000080,Concha y Toro Cabernet Sauvignon 2015,Concha y Toro,2015,0.86,0.9,0.53,0.0,0.86,1.87,3.35,4.4,2.82,labels/VINI-000080.jpg,['Cabernet Sauvignon'],Vale Central - Chile,N/D
VINI-000082,Graham's Touriga Nacional 2014,Graham's,2014,0.87,0.54,0.39,0.74,0.86,1.43,4.22,3.53,3.72,labels/VINI-000082.jpg,['Touriga Nacional'],Douro - Portugal,N/D
VINI-000083,Antinori Sangiovese 2016,Antinori,2016,0.71,0.62,0.6,0.21,0.62,2.38,4.42,3.33,2.75,labels/VINI-000083.jpg,['Sangiovese'],Toscana - Itália,N/D
VINI-000084,Cloudy Bay Sauvignon Blanc 2014,Cloudy Bay,2014,0.24,0.01,0.86,0.08,0.64,4.1,2.88,1.0,2.81,labels/VINI-000084.jpg,['Sauvignon Blanc'],Marlborough - Nova Zelândia,N/D
VINI-000085,Pizzato Merlot 2014,Pizzato,2014,0.69,0.63,0.57,0.09,0.64,2.33,4.45,3.3,2.57,labels/VINI-000085.jpg,['Merlot'],Vale dos Vinhedos - Brasil,N/D
VINI-000087,Casa Valduga Chardonnay 2010,Casa Valduga,2010,0.56,0.07,0.71,0.21,0.81,3.01,3.83,1.58,3.3,labels/VINI-000087.jpg,['Chardonnay'],Vale dos Vinhedos - Brasil,N/D
VINI-000089,Beringer Cabernet Sauvignon 2014,Beringer,2014,0.84,0.86,0.54,0.08,0.87,1.94,3.5,4.25,2.97,labels/VINI-000089.jpg,['Cabernet Sauvignon'],Napa Valley - EUA,N/D
VINI-000090,Graham's Touriga Nacional 2016,Graham's,2016,0.94,0.5,0.42,0.87,0.96,1.38,4.15,3.6,4.15,labels/VINI-000090.jpg,['Touriga Nacional'],Douro - Portugal,N/D
VINI-000091,Graham's Touriga Nacional 2021,Graham's,2021,0.94,0.52,0.4,0.77,0.92,1.32,4.1,3.65,3.89,labels/VINI-000091.jpg,['Touriga Nacional'],Douro - Portugal,N/D
VINI-000092,Joseph Drouhin Pinot Noir 2011,Joseph Drouhin,2011,0.42,0.26,0.81,0.12,0.58,3.59,3.95,1.7,2.82,labels/VINI-000092.jpg,['Pinot Noir'],Bourgogne - França,N/D
VINI-000093,Marqués de Riscal Tempranillo 2012,Marqués de Riscal,2012,0.69,0.6,0.63,0.16,0.61,2.51,4.53,3.23,2.7,labels/VINI-000093.jpg,['Tempranillo'],Rioja - Espanha,N/D
VINI-000094,Concha y Toro Cabernet Sauvignon 2024,Concha y Toro,2024,0.84,0.88,0.5,0.15,0.79,1.82,3.45,4.3,2.86,labels/VINI-000094.jpg,['Cabernet Sauvignon'],Vale Central - Chile,N/D
VINI-000096,Prunotto Nebbiolo 2014,Prunotto,2014,0.73,0.92,0.75,0.11,0.73,2.79,3.62,4.12,3.05,labels/VINI-000096.jpg,['Nebbiolo'],Piemonte - Itália,N/D
VINI-000097,Cloudy Bay Sauvignon Blanc 2024,Cloudy Bay,2024,0.21,0.05,0.88,0.09,0.62,4.22,2.9,1.0,2.76,labels/VINI-000097.jpg,['Sauvignon Blanc'],Marlborough - Nova Zelândia,N/D
VINI-000098,Miolo Tannat 2012,Miolo,2012,0.87,0.93,0.43,0.05,0.89,1.55,3.25,4.5,2.8,labels/VINI-000098.jpg,['Tannat'],Campanha Gaúcha - Brasil,N/D
VINI-000099,Graham's Touriga Nacional 2015,Graham's,2015,0.93,0.55,0.33,0.83,0.88,1.13,4.05,3.7,3.8,labels/VINI-000099.jpg,['Touriga Nacional'],Douro - Portugal,N/D
VINI-000100,Concha y Toro Cabernet Sauvignon 2018,Concha y Toro,2018,0.9,0.87,0.55,0.07,0.81,1.85,3.33,4.42,2.85,labels/VINI-000100.jpg,['Cabernet Sauvignon'],Vale Central - Chile,N/D
VINI-000102,"Esporão Aragonez, Trincadeira 2023",Esporão,2023,0.58,0.68,0.56,0.15,0.66,2.52,4.5,3.15,2.68,labels/VINI-000102.jpg,"['Aragonez', 'Trincadeira']",Alentejo - Portugal,N/D
VINI-000107,Antinori Sangiovese 2017,Antinori,2017,0.68,0.62,0.54,0.13,0.65,2.26,4.5,3.25,2.6,labels/VINI-000107.jpg,['Sangiovese'],Toscana - Itália,N/D
VINI-000109,Viña Leyda Sauvignon Blanc 2018,Viña Leyda,2018,0.31,0.01,0.87,0.04,0.6,3.99,3.05,1.0,2.66,labels/VINI-000109.jpg,['Sauvignon Blanc'],Vale de Leyda - Chile,N/D
VINI-000110,Beringer Cabernet Sauvignon 2016,Beringer,2016,0.83,0.89,0.52,0.08,0.73,1.9,3.45,4.3,2.66,labels/VINI-000110.jpg,['Cabernet Sauvignon'],Napa Valley - EUA,N/D
VINI-000111,Graham's Touriga Nacional 2013,Graham's,2013,0.97,0.46,0.38,0.83,0.92,1.2,3.97,3.57,3.95,labels/VINI-000111.jpg,['Touriga Nacional'],Douro - Portugal,N/D
VINI-000112,Concha y Toro Cabernet Sauvignon 2010,Concha y Toro,2010,0.82,0.81,0.47,0.06,0.68,1.77,3.67,4.07,2.46,labels/VINI-000112.jpg,['Cabernet Sauvignon'],Vale Central - Chile,N/D
VINI-000113,Pizzato Merlot 2022,Pizzato,2022,0.58,0.61,0.57,0.12,0.78,2.55,4.68,2.97,2.89,labels/VINI-000113.jpg,['Merlot'],Vale dos Vinhedos - Brasil,N/D
VINI-000114,Graham's Touriga Nacional 2020,Graham's,2020,0.89,0.51,0.35,0.8,0.96,1.27,4.25,3.5,3.94,labels/VINI-000114.jpg,['Touriga Nacional'],Douro - Portugal,N/D
VINI-000115,Antinori Sangiovese 2024,Antinori,2024,0.69,0.52,0.48,0.18,0.73,2.06,4.73,3.02,2.75,labels/VINI-000115.jpg,['Sangiovese'],Toscana - Itália,N/D
VINI-000118,Graham's Touriga Nacional 2010,Graham's,2010,0.88,0.48,0.44,0.79,0.95,1.56,4.25,3.4,4.04,labels/VINI-000118.jpg,['Touriga Nacional'],Douro - Portugal,N/D
VINI-000121,Joseph Drouhin Pinot Noir 2018,Joseph Drouhin,2018,0.43,0.29,0.78,0.16,0.6,3.48,4.05,1.8,2.91,labels/VINI-000121.jpg,['Pinot Noir'],Bourgogne - França,N/D
VINI-000122,Santa Rita Carmenere 2016,Santa Rita,2016,0.68,0.55,0.53,0.09,0.68,2.23,4.67,3.08,2.59,labels/VINI-000122.jpg,['Carmenere'],Vale do Maipo - Chile,N/D
VINI-000123,Joseph Drouhin Pinot Noir 2023,Joseph Drouhin,2023,0.36,0.28,0.75,0.06,0.66,3.53,3.85,1.6,2.83,labels/VINI-000123.jpg,['Pinot Noir'],Bourgogne - França,N/D
VINI-000124,Marqués de Riscal Tempranillo 2014,Marqués de Riscal,2014,0.64,0.75,0.65,0.16,0.62,2.67,4.28,3.48,2.75,labels/VINI-000124.jpg,['Tempranillo'],Rioja - Espanha,N/D
VINI-000125,Joseph Drouhin Pinot Noir 2013,Joseph Drouhin,2013,0.39,0.33,0.66,0.06,0.72,3.2,4.05,1.8,2.82,labels/VINI-000125.jpg,['Pinot Noir'],Bourgogne - França,N/D
VINI-000127,Miolo Tannat 2010,Miolo,2010,0.84,0.89,0.59,0.13,0.81,2.09,3.43,4.33,3.0,labels/VINI-000127.jpg,['Tannat'],Campanha Gaúcha - Brasil,N/D
VINI-000128,"Esporão Aragonez, Trincadeira 2018",Esporão,2018,0.71,0.65,0.57,0.11,0.73,2.29,4.35,3.4,2.78,labels/VINI-000128.jpg,"['Aragonez', 'Trincadeira']",Alentejo - Portugal,N/D
VINI-000129,Luigi Bosca Malbec 2011,Luigi Bosca,2011,0.79,0.83,0.45,0.05,0.82,1.77,3.7,4.05,2.69,labels/VINI-000129.jpg,['Malbec'],Luján de Cuyo - Argentina,N/D
VINI-000130,Beringer Cabernet Sauvignon 2013,Beringer,2013,0.81,0.82,0.51,0.09,0.73,1.91,3.67,4.07,2.66,labels/VINI-000130.jpg,['Cabernet Sauvignon'],Napa Valley - EUA,N/D
VINI-000131,Marqués de Riscal Tempranillo 2010,Marqués de Riscal,2010,0.66,0.56,0.64,0.18,0.67,2.6,4.7,3.05,2.87,labels/VINI-000131.jpg,['Tempranillo'],Rioja - Espanha,N/D
VINI-000132,Miolo Tannat 2024,Miolo,2024,0.81,0.81,0.54,0.15,0.85,2.0,3.7,4.05,3.04,labels/VINI-000132.jpg,['Tannat'],Campanha Gaúcha - Brasil,N/D
VINI-000133,Concha y Toro Cabernet Sauvignon 2021,Concha y Toro,2021,0.9,0.89,0.58,0.13,0.86,1.94,3.28,4.47,3.08,labels/VINI-000133.jpg,['Cabernet Sauvignon'],Vale Central - Chile,N/D
VINI-000135,M. Chapoutier Syrah 2013,M. Chapoutier,2013,0.85,0.85,0.58,0.03,0.83,2.04,3.5,4.25,2.88,labels/VINI-000135.jpg,['Syrah'],Rhône - França,N/D
VINI-000137,Santa Rita Carmenere 2012,Santa Rita,2012,0.69,0.6,0.6,0.14,0.64,2.42,4.53,3.23,2.69,labels/VINI-000137.jpg,['Carmenere'],Vale do Maipo - Chile,N/D
VINI-000138,M. Chapoutier Syrah 2024,M. Chapoutier,2024,0.8,0.9,0.5,0.0,0.74,1.9,3.5,4.25,2.53,labels/VINI-000138.jpg,['Syrah'],Rhône - França,N/D
VINI-000139,Catena Zapata Malbec 2014,Catena Zapata,2014,0.84,0.79,0.52,0.11,0.79,1.88,3.67,4.07,2.83,labels/VINI-000139.jpg,['Malbec'],Mendoza - Argentina,N/D
VINI-000140,M. Chapoutier Syrah 2015,M. Chapoutier,2015,0.83,0.88,0.59,0.11,0.82,2.11,3.48,4.28,2.99,labels/VINI-000140.jpg,['Syrah'],Rhône - França,N/D
VINI-000142,"Esporão Aragonez, Trincadeira 2020",Esporão,2020,0.75,0.59,0.53,0.07,0.73,2.09,4.4,3.35,2.66,labels/VINI-000142.jpg,"['Aragonez', 'Trincadeira']",Alentejo - Portugal,N/D
VINI-000143,Luigi Bosca Malbec 2021,Luigi Bosca,2021,0.85,0.8,0.51,0.1,0.74,1.83,3.62,4.12,2.69,labels/VINI-000143.jpg,['Malbec'],Luján de Cuyo - Argentina,N/D
VINI-000144,Viña Leyda Sauvignon Blanc 2014,Viña Leyda,2014,0.25,0.03,0.86,0.16,0.57,4.08,2.95,1.0,2.79,labels/VINI-000144.jpg,['Sauvignon Blanc'],Vale de Leyda - Chile,N/D
VINI-000145,Louis Latour Chardonnay 2017,Louis Latour,2017,0.57,0.04,0.65,0.11,0.76,2.81,3.77,1.52,2.96,labels/VINI-000145.jpg,['Chardonnay'],Bourgogne - França,N/D
VINI-000146,Luigi Bosca Malbec 2016,Luigi Bosca,2016,0.87,0.81,0.49,0.11,0.82,1.73,3.55,4.2,2.84,labels/VINI-000146.jpg,['Malbec'],Luján de Cuyo - Argentina,N/D
VINI-000147,Beringer Cabernet Sauvignon 2024,Beringer,2024,0.85,0.89,0.49,0.08,0.77,1.77,3.4,4.35,2.7,labels/VINI-000147.jpg,['Cabernet Sauvignon'],Napa Valley - EUA,N/D
VINI-000149,Catena Zapata Malbec 2018,Catena Zapata,2018,0.86,0.93,0.46,0.05,0.79,1.66,3.28,4.47,2.65,labels/VINI-000149.jpg,['Malbec'],Mendoza - Argentina,N/D
VINI-000151,Pizzato Merlot 2016,Pizzato,2016,0.63,0.55,0.51,0.11,0.53,2.27,4.8,2.95,2.29,labels/VINI-000151.jpg,['Merlot'],Vale dos Vinhedos - Brasil,N/D
VINI-000155,Graham's Touriga Nacional 2018,Graham's,2018,0.88,0.49,0.42,0.79,0.95,1.5,4.28,3.43,4.01,labels/VINI-000155.jpg,['Touriga Nacional'],Douro - Portugal,N/D
VINI-000157,Viña Leyda Sauvignon Blanc 2020,Viña Leyda,2020,0.21,0.1,0.81,0.08,0.51,4.01,3.02,1.0,2.62,labels/VINI-000157.jpg,['Sauvignon Blanc'],Vale de Leyda - Chile,N/D
VINI-000158,Beringer Cabernet Sauvignon 2012,Beringer,2012,0.83,0.83,0.57,0.18,0.82,2.05,3.6,4.15,3.06,labels/VINI-000158.jpg,['Cabernet Sauvignon'],Napa Valley - EUA,N/D
VINI-000159,Prunotto Nebbiolo 2010,Prunotto,2010,0.77,0.99,0.88,0.14,0.78,3.1,3.35,4.4,3.15,labels/VINI-000159.jpg,['Nebbiolo'],Piemonte - Itália,N/D
